image_id,ann_id,bbox_iou,reasoning_fail,reasoning_len_chars,reasoning_len_words,pred_bboxes_count
678_22823,22823,0.000000,1,0,0,0
4029_15317,15317,0.968105,0,466,79,4
863_24293,24293,0.000000,0,516,88,4
3807_14852,14852,0.830040,0,622,104,4
32_2269,2269,0.766474,0,493,83,4
1512_26996,26996,0.000000,0,458,80,4
4689_16859,16859,0.927947,0,589,101,4
479_22080,22080,0.000000,0,461,79,4
4533_16524,16524,0.956446,0,356,65,4
1228_26536,26536,0.003637,0,544,101,4
1552_27365,27365,0.000000,0,429,74,4
1287_1301,1301,0.910768,0,566,99,4
1108_25482,25482,0.000000,0,469,79,4
4569_16625,16625,0.970105,0,521,90,4
1587_1836,1836,0.000000,0,594,105,4
3279_13845,13845,0.680050,0,582,98,4
774_23632,23632,0.687031,0,465,85,4
120_21090,21090,0.000000,0,477,83,4
1212_26401,26401,0.898061,0,486,84,4
120_21096,21096,0.000000,1,0,0,0
2631_12757,12757,0.931565,0,486,87,4
3861_14979,14979,0.166940,0,1146,204,4
1701_1980,1980,0.975806,0,433,80,4
1703_27590,27590,0.056028,0,577,97,4
1108_25480,25480,0.000000,0,523,88,4
1156_25883,25883,0.265388,0,528,92,4
678_22829,22829,0.000000,0,524,88,4
4071_15408,15408,0.991453,0,509,87,4
4563_16608,16608,0.070608,0,895,149,4
4293_15891,15891,0.000000,0,556,94,4
871_24354,24354,0.117749,0,643,103,4
1052_24951,24951,0.970453,0,557,91,4
1719_27731,27731,0.006398,0,422,75,4
3399_14040,14040,0.712650,0,595,108,4
1719_11016,11016,0.965747,0,466,86,4
847_24163,24163,0.000000,0,604,102,4
3813_14866,14866,0.000000,0,430,79,4
1068_25087,25087,0.681709,0,494,84,4
1108_25478,25478,0.324934,0,601,98,4
3117_13584,13584,0.965839,0,404,62,4
887_24476,24476,0.536153,0,743,123,4
1068_25089,25089,0.002453,0,578,98,4
4485_16384,16384,0.986107,0,461,76,4
3987_15221,15221,0.181226,0,371,67,4
3723_14696,14696,0.760204,0,424,71,4
1875_11337,11337,0.971695,0,530,89,4
2691_12888,12888,0.767813,0,357,62,4
1020_24635,24635,0.210461,0,700,116,4
1480_26731,26731,0.059797,0,460,79,4
3081_13508,13508,0.919492,0,548,93,4
4377_16060,16060,0.000000,0,584,105,4
1512_27000,27000,0.000000,0,545,91,4
511_22356,22356,0.560764,0,434,72,4
1020_24633,24633,0.799087,0,622,105,4
1464_26593,26593,0.000000,0,774,132,4
3399_14042,14042,0.000000,0,445,80,4
543_22636,22636,0.000000,0,659,114,4
1220_26466,26466,0.180690,0,412,70,4
1629_1887,1887,0.976066,0,546,87,4
56_2504,2504,0.144897,0,616,101,4
1488_26802,26802,0.000000,0,537,98,4
4431_16231,16231,0.053306,0,483,82,4
1821_11231,11231,0.000000,1,0,0,0
4161_15606,15606,0.513078,0,394,71,4
2607_12734,12734,0.866439,0,592,103,4
120_21088,21088,0.000000,0,1106,184,4
4311_15931,15931,0.982661,0,536,91,4
