image_id,ann_id,bbox_iou,reasoning_fail,reasoning_len_chars,reasoning_len_words,pred_bboxes_count
678_22823,22823,0.000000,1,0,0,0
4029_15317,15317,0.963286,0,408,70,4
863_24293,24293,0.004471,0,407,66,4
3807_14852,14852,0.830040,0,437,73,4
32_2269,2269,0.795954,0,515,82,4
1512_26996,26996,0.000000,0,549,96,4
4689_16859,16859,0.927947,0,456,74,4
479_22080,22080,0.000000,0,532,85,4
4533_16524,16524,0.979965,0,530,87,4
1228_26536,26536,0.003617,0,499,89,4
1552_27365,27365,0.000000,0,432,75,4
1287_1301,1301,0.908433,0,496,86,4
1108_25482,25482,0.000000,0,365,65,4
4569_16625,16625,0.970105,0,317,54,4
1587_1836,1836,0.000000,0,514,82,4
3279_13845,13845,0.691798,0,497,82,4
774_23632,23632,0.708901,0,580,100,4
120_21090,21090,0.000000,0,396,70,4
1212_26401,26401,0.898061,0,483,79,4
120_21096,21096,0.000000,0,413,72,4
2631_12757,12757,0.931565,0,559,95,4
3861_14979,14979,0.171220,0,432,70,4
1701_1980,1980,0.159677,0,413,73,4
1703_27590,27590,0.053818,0,790,137,4
1108_25480,25480,0.000000,0,572,98,4
1156_25883,25883,0.265388,0,399,68,4
678_22829,22829,0.000000,0,532,86,4
4071_15408,15408,0.982906,0,578,92,4
4563_16608,16608,0.053254,0,439,71,4
4293_15891,15891,0.000000,0,502,82,4
871_24354,24354,0.117749,0,634,101,4
1052_24951,24951,0.970453,0,471,82,4
1719_27731,27731,0.006356,0,353,62,4
3399_14040,14040,0.718291,0,507,88,4
1719_11016,11016,0.965747,0,422,74,4
847_24163,24163,0.000000,0,365,61,4
3813_14866,14866,0.000000,0,530,100,4
1068_25087,25087,0.676835,0,493,81,4
1108_25478,25478,0.326882,0,477,79,4
3117_13584,13584,0.962319,0,628,103,4
887_24476,24476,0.536153,0,543,89,4
1068_25089,25089,0.001214,0,419,76,4
4485_16384,16384,0.977778,0,442,72,4
3987_15221,15221,0.181226,0,431,76,4
3723_14696,14696,0.760204,0,460,75,4
1875_11337,11337,0.956240,0,516,87,4
2691_12888,12888,0.807187,0,432,78,4
1020_24635,24635,0.172113,0,460,77,4
1480_26731,26731,0.166817,0,538,88,4
3081_13508,13508,0.950712,0,545,87,4
4377_16060,16060,0.658824,0,561,100,4
1512_27000,27000,0.000000,0,534,84,4
511_22356,22356,0.566407,0,565,95,4
1020_24633,24633,0.682941,0,735,125,4
1464_26593,26593,0.000000,0,654,102,4
3399_14042,14042,0.000000,0,574,102,4
543_22636,22636,0.000000,1,0,0,0
1220_26466,26466,0.180690,0,527,88,4
1629_1887,1887,0.976066,0,611,98,4
56_2504,2504,0.144897,0,546,86,4
1488_26802,26802,0.000000,0,548,90,4
4431_16231,16231,0.052212,0,775,142,4
1821_11231,11231,0.000000,0,408,74,4
4161_15606,15606,0.506259,0,322,57,4
2607_12734,12734,0.881021,0,437,75,4
120_21088,21088,0.000000,0,472,78,4
4311_15931,15931,0.982661,0,373,63,4
112_21002,21002,0.000000,0,397,65,4
1180_26094,26094,0.437243,0,734,121,4
48_2437,2437,0.000000,0,387,67,4
4575_16644,16644,0.217980,0,459,78,4
4257_15809,15809,0.913738,0,591,98,4
4011_15269,15269,0.032343,0,460,82,4
839_24089,24089,0.970259,0,596,95,4
855_24235,24235,0.069416,0,359,63,4
3885_15027,15027,0.000000,0,397,71,4
2733_12990,12990,0.805005,0,347,61,4
2427_12504,12504,0.863898,0,513,90,4
774_23638,23638,0.077985,0,432,74,4
710_23068,23068,0.771755,0,424,72,4
1544_27313,27313,0.031170,0,470,77,4
192_21757,21757,0.067299,0,417,73,4
56_2502,2502,0.000000,0,462,83,4
2841_13188,13188,0.962535,0,436,70,4
1323_1385,1385,0.389269,0,505,86,4
847_24173,24173,0.032495,0,463,69,4
136_21216,21216,0.000000,0,465,80,4
726_23225,23225,0.545448,0,687,115,4
1155_11,11,0.978158,0,320,58,4
3111_13568,13568,0.156315,0,440,77,4
1100_25399,25399,0.154292,0,386,63,4
1212_26403,26403,0.000000,0,482,79,4
678_22825,22825,0.000000,0,407,70,4
1560_27413,27413,0.000000,0,470,81,4
1401_1546,1546,0.917870,0,463,84,4
1703_27584,27584,0.000000,0,790,137,4
2319_12280,12280,0.979418,0,682,110,4
8_269,269,0.000000,0,561,88,4
4059_15385,15385,0.880926,0,486,80,4
1815_11219,11219,0.769617,0,526,85,4
2451_12544,12544,0.956522,0,467,83,4
3141_13641,13641,0.716989,0,424,72,4
128_21161,21161,0.000000,0,477,82,4
4053_15373,15373,0.986159,0,422,73,4
3915_15101,15101,0.000000,0,409,72,4
1983_11576,11576,0.000000,0,372,64,4
3321_13907,13907,0.915884,0,486,86,4
1617_1875,1875,0.740260,0,507,83,4
2169_11948,11948,0.975700,0,496,82,4
1228_26540,26540,0.204936,0,481,80,4
1180_26098,26098,0.251739,0,444,73,4
2211_12029,12029,0.980209,0,423,70,4
1827_11243,11243,0.638592,0,392,65,4
887_24478,24478,0.032767,0,452,78,4
879_24413,24413,0.000000,0,471,79,4
1311_1354,1354,0.710827,0,397,58,4
4701_16879,16879,0.883784,0,420,71,4
3615_14468,14468,0.708102,0,431,75,4
479_22084,22084,0.429618,0,532,85,4
184_21660,21660,0.000000,0,490,80,4
1164_25956,25956,0.440307,0,647,111,4
1172_26030,26030,0.248621,0,343,55,4
1173_153,153,0.981344,0,330,57,4
1839_11266,11266,0.916121,0,456,68,4
4185_15664,15664,0.965390,0,372,64,4
2469_12571,12571,0.746049,0,390,68,4
4155_15594,15594,0.840767,0,542,90,4
3147_13653,13653,0.947891,0,463,82,4
3153_13665,13665,0.254492,0,375,66,4
1504_26934,26934,0.199212,0,582,95,4
3795_14819,14819,0.925831,0,497,90,4
1179_170,170,0.818923,0,379,60,4
2355_12362,12362,0.826007,0,360,65,4
1185_182,182,0.225252,0,581,100,4
4395_16103,16103,0.000000,0,444,79,4
1060_25017,25017,0.000000,0,486,77,4
4539_16543,16543,0.000000,0,421,75,4
2769_13055,13055,0.947368,0,400,72,4
1044_24894,24894,0.702441,0,473,78,4
527_22532,22532,0.000000,0,381,62,4
1735_27884,27884,0.091141,0,435,74,4
136_21220,21220,0.126666,0,370,66,4
2037_11678,11678,0.866562,0,502,89,4
1148_25800,25800,0.000000,0,526,92,4
1148_25796,25796,0.925157,0,476,76,4
495_22212,22212,0.017893,0,562,89,4
128_21165,21165,0.033118,0,567,93,4
4503_16442,16442,0.978934,0,555,89,4
4041_15349,15349,0.919250,0,410,74,4
3441_14131,14131,0.888776,0,581,92,4
3255_13821,13821,0.885160,0,575,101,4
4413_16168,16168,0.961201,0,392,70,4
112_2994,2994,0.000000,0,468,76,4
48_2435,2435,0.588354,0,459,74,4
1116_25554,25554,0.000000,0,580,95,4
1536_27252,27252,0.245887,0,559,101,4
1311_1356,1356,0.000000,0,544,93,4
64_2566,2566,0.940211,0,431,78,4
750_23480,23480,0.062833,0,374,63,4
2817_13146,13146,0.910877,0,365,64,4
1735_27886,27886,0.055522,0,480,78,4
1233_1183,1183,0.905654,0,595,93,4
3531_14311,14311,0.832390,0,585,90,4
1052_24955,24955,0.071595,0,413,68,4
16_2150,2150,0.044686,0,495,80,4
3171_13701,13701,0.000000,0,454,78,4
2775_13067,13067,0.836735,0,422,73,4
2379_12410,12410,0.892857,0,422,73,4
1581_1823,1823,0.000000,0,530,85,4
1239_1202,1202,0.937079,0,522,89,4
1191_194,194,0.096433,0,514,91,4
152_21374,21374,0.084035,0,570,92,4
2199_12004,12004,0.956335,0,433,78,4
24_2210,2210,0.000000,0,567,94,4
48_2441,2441,0.055064,0,466,75,4
1028_24690,24690,0.845901,0,429,68,4
2343_12331,12331,0.043379,0,541,80,4
1188_26189,26189,0.000000,0,512,82,4
1480_26729,26729,0.430575,0,365,63,4
1797_11185,11185,0.959777,0,482,82,4
120_21092,21092,0.000000,0,396,70,4
1869_11325,11325,0.777473,0,651,108,4
2235_12076,12076,0.000000,0,333,59,4
2973_13340,13340,0.782739,0,542,90,4
1036_24797,24797,0.000000,0,432,76,4
2079_11760,11760,0.646154,0,391,63,4
1833_11255,11255,0.731682,0,440,77,4
1727_27803,27803,0.000000,0,427,67,4
2025_11653,11653,0.815718,0,414,73,4
4455_16303,16303,0.185048,0,525,82,4
3981_15210,15210,0.915301,0,325,57,4
2301_12243,12243,0.975415,0,411,71,4
503_22293,22293,0.294195,0,567,92,4
1520_27079,27079,0.000000,0,381,62,4
3189_13734,13734,0.702330,0,356,61,4
